a	а
inherent	притаманне
inherit	успадковувати
inhibit	гальмувати
inhospitable	негостинна
inhuman	нелюдський
inhumane	негуманно
inimical	наслідувальний
inimitable	неповторний
iniquitous	беззаконня
initial	початковий
initiate	ініціювати
initiative	ініціатива
inject	вводити
injudicious	шкідливий
injunction	заборона
injure	травмувати
injurious	згубний
injury	травма
injustice	несправедливість
ink	чорнило
inkling	чорніння
inlaid	інкрустований
inland	у внутрішній частині
inlay	інкрустація
inlet	вхідний отвір
inmate	ув&#x27;&#x27;язнений
inn	готель
innards	нутрощі
innate	вроджений
inner	внутрішній
inning	іннінг
innocent	невинний
innocuous	невинний
innovate	інновації
innuendo	ненав’язливість
innumerable	незліченний
inoculate	прищеплювати
inoffensive	образливий
inoperable	непридатний
inoperative	не працює
inopportune	невідповідність
inordinate	непомірний
inorganic	неорганічний
inpatient	стаціонарний
input	вхід
inquest	розслідування
inquietude	допитливість
inquire	розпитувати
inquiry	запит
inquisition	допитливість
inquisitive	допитливий
inquisitor	інквізитор
inroad	дорога
inrush	набіг
insalubrious	непосильний
insane	божевільний
insanitary	антисанітарний
insatiable	ненаситний
inscribe	вписати
inscrutable	непереборний
insect	комаха
insecure	невпевнено
inseminate	осіменіти
insensate	ненасичений
insensibility	нечутливість
insensible	нечутливий
insensitive	нечутливий
insentient	нечутливий
inseparable	нерозлучна
insert	вставити
inset	вставка
inshore	берегові
inside	всередині
insidious	підступний
insight	в поле зору
insignia	відмінні знаки
insignificant	незначний
insincere	нещирий
insinuate	інсинуати
insipid	невмілий
insist	наполягати
insobriety	неузрілість
insofar	настільки
insole	устілка
insolent	нахабний
insoluble	нерозчинний
insolvent	неплатоспроможний
insomnia	безсоння
insomuch	настільки
insouciance	невдячність
inspect	оглянути
inspector	інспектор
inspiration	натхнення
inspire	надихати
inspirit	натхненний
instability	нестабільність
install	встановити
instance	екземпляр
instant	миттєвий
instantaneous	миттєвий
instead	замість цього
instep	стрибок
instigate	підбурювати
instinct	інстинкт
institute	інститут
institution	заклад
instruct	наставляти
instruction	інструкція
instructive	повчальний
instrument	інструмент
instrumental	інструментальний
insubordinate	непокірний
insubstantial	несуттєві
insufferable	нестерпний
insufficient	недостатній
insular	острівний
insulate	утеплювати
insulin	інсулін
insult	образа
insuperable	непереборний
insupportable	непідйомний
insurance	страхування
insure	страхувати
insurgent	повсталий
insurmountable	непереборний
insurrection	повстання
insusceptible	нечутливий
intact	неушкодженим
intaglio	глибоке різьблення на камені
intake	споживання
intangible	нематеріальний
integer	ціле число
integral	цілісний
integrate	інтегрувати
integrity	цілісність
integument	покрова
intellect	інтелект
intellectual	інтелектуальний
intelligence	інтелект
intelligentsia	інтелігенція
intelligible	розбірливий
intemperate	неуважний
intend	мають намір
intense	інтенсивний
intensify	посилюються
intensity	інтенсивність
intensive	інтенсивний
intent	умисел
intention	намір
intentional	навмисний
inter	інтер
interact	взаємодіяти
interbreed	схрещується
intercede	заступатися
intercept	перехоплювати
